log10(h),log10(max_error)
-0.2825465899699680650,-1.7577812137395429914
-0.5929166118880926373,-2.1842613217657986802
-0.7720771026714504659,-2.4998338747373338720
-0.8985423592412229432,-2.7374540812245196086
-0.9963657153449059223,-2.9259965944089199041
-1.0761547914174369733,-3.0817276976470537875
-1.1435352250999584189,-3.2140655541930813754
-1.2018521212001027632,-3.3290818570895597261
-1.2532572138679805018,-3.4308067644975159816
-1.2992166549005128573,-3.5219661023392858645
-1.3407745024421329205,-3.6045320875459809784
-1.3787006506863674904,-3.6799755309697883554
-1.4135791429792126106,-3.7493897040320840475
-1.4458635609892203089,-3.8136722864775780550
-1.4759132025306942460,-3.8735484185582236272
-1.5040175279209979653,-3.9295807757059337817
-1.5304131631775952371,-3.9822311702264601152
-1.5552960241131068564,-4.0318832054666593478
-1.5788301506094875037,-4.0788467379935067214
-1.6011542673669383330,-4.1233962293479766714
-1.6223867390083026585,-4.1657800273273490888
-1.6426293691649218598,-4.2061982668561190835
-1.6619703528041602780,-4.2448246488342240568
-1.6804865986420056689,-4.2818108857773964360
-1.6982455763416866024,-4.3172850709827459426
-1.7153068006115448352,-4.3513614584678332875
-1.7317230346210756853,-4.3841551650859820199
-1.7475412741213671719,-4.4157589966883765698
-1.7628035585424890463,-4.4462560639987129818
-1.7775476443352578038,-4.4757210843127328559
-1.7918075677129503553,-4.5042193978559712519
-1.8056141179013560638,-4.5318069502776801016
-1.8189952374500517607,-4.5585474382327424436
-1.8319763626923517563,-4.5844912061174758477
-1.8445807147810755477,-4.6096842498701562363
-1.8568295496675848444,-4.6341687026371651825
-1.8687423737841015736,-4.6579827388498840079
-1.8803371309253733568,-4.6811563950994310446
-1.8916303648248928848,-4.7037292832386565777
-1.9026373611230387173,-4.7257316962283058004
-1.9133722717845107475,-4.7471916970850047690
-1.9238482245059931319,-4.7681353320486259406
-1.9340774192358916039,-4.7885868189251645788
-1.9440712135860866994,-4.8085640822651205539
-1.9538401986352857964,-4.8280929050469127972
-1.9633942663925658678,-4.8471932347809678632
-1.9727426699984818015,-4.8658834330271076851
-1.9818940775821669575,-4.8841807082141919238
-1.9908566205601303523,-4.9021012100300520586
-1.9996379370512238349,-4.9196570601947771095
